11 	 1 
11 	 2 
11 	 5 
11 	 5 
11 	 1 
11 	 2
11 	 1 
11 	 1 
11 	 2 
11 	 3 
11 	 4 
11 	 2 
11 	 1 
11 	 2 
11 	 3 
11 	 6 
11 	 -1 
11 	 1 
11 	 -1 
11 	 2 
11 	 3 
11 	 0 
11 	 1 
11 	 0 
11 	 -1 
11 	 1 
11 	 -1 
11 	 0 
11 	 3 
11 	 3 
11 	 2 
11 	 5 
11 	 0 
11 	 -1 
11 	 2 
11 	 3 
11 	 0 
11 	 0 
11 	 0 
11 	 2 
LXZ 	 4 
LXZ 	 4 
LXZ 	 5 
LXZ 	 9 
LXZ 	 0 
11 	 3 
11 	 3 
11 	 0 
11 	 2 
11 	 2 
11 	 1 
11 	 0 
11 	 1 
11 	 -1 
11 	 1 
11 	 0 
11 	 2 
11 	 0 
11 	 1 
11 	 0 
11 	 1 
11 	 1 
11 	 0 
11 	 1 
11 	 2 
11 	 1 
11 	 1 
11 	 2 
11 	 0 
11 	 0 
11 	 0 
11 	 2 
11 	 0 
11 	 3 
11 	 1 
11 	 2 
11 	 1 
11 	 3 
11 	 0 
11 	 2 
11 	 0 
11 	 0 
11 	 2 
11 	 1 
11 	 1 
11 	 1 
